Email,Class,Is_Phishing,Risk,Social_Engineering_Elements,Actions,Reason
"SUBJECT: re : valero - - meter 8018 EMAIL: does it make a difference if the information is communicated via a copy of customer "" force majeure "" letter or should it only be communicated via notes mail . there are several ways to communicate effectively issues that is beneficial to other departments do you have a preference enron north america corp . from : pat clynes @ enron 08 / 29 / 2000 10 : 13 pm to : robert e lloyd / hou / ect @ ect cc : subject : re : valero - - meter 8018 robert this is an idea of the type of information that should be communicated . thanks pat daren j farmer @ ect 01 / 27 / 2000 03 : 23 pm to : robert e lloyd / hou / ect @ ect pat clynes / corp / enron @ enron cc : subject : valero - - meter 8018 fyi . we need to make sure that this kind of communication conitinues to flow downstream . d - - - - - - - - - - - - - - - - - - - - - - forwarded by daren j farmer / hou / ect on 01 / 27 / 2000 03 : 22 pm - - - - - - - - - - - - - - - - - - - - - - - - - - - kenneth seaman 01 / 27 / 2000 02 : 00 pm to : fred boas / hou / ect @ ect joanie h ngo / hou / ect @ ect robert e lloyd / hou / ect @ ect cc : daren j farmer / hou / ect @ ect howard b camp / hou / ect @ ect subject : valero - - meter 8018 deliveries to this meter were halted late in the day of january 20 . the customer has maintenance issues that necessitated an earlier than planned turnaround . it is my understanding from our trader this is another force majure situation resulting in no sale or buyback at this meter commencing with the shutdown . please take this into consideration when allocating and billing the customer . thanks",Legit,False,Low,['Use of outdated company name and personnel'],"[""Verify sender's identity through official Enron channels or contact HR""]","Legitimate email from an Enron employee with a legitimate business request, but may be attempting to trick the recipient into divulging sensitive information."
"SUBJECT: Re: sa-learn weirdness... EMAIL: On Fri Feb 08 2008 at 02:02:45PM 0100 Paolo Cravero wrote: > Arthur Dent wrote: > >> Hmmm... Not delete exactly but the sa-learn job take so long that the >> archivemail job has kicked off and finds the ""TempSpam"" and ""TempHam"" mboxes >> in the Mail directory and dutifully chops out anything older than 180 days. I >> didnt think that that would be a problem but maybe its upsetting sa-learn >> I will try switch the order of the jobs archivemail running first and see if >> that makes a difference.. > > At this point you have probably already swapped the two processes. > > I think sa-learn or the process feeding it does not like the chopping. Yes. Sorry I didnt post an update because I was embarrassed at my own stupidity for not thinking it through more carefully before posting my original message. Switching the jobs round did indeed mean that sa-learn is no longer getting interfered with by archivemail while its in mid-learn. It now behaves quite sensibly. >> Well as I explained in my previous post the ""TempHam"" folder is a >> concatenation of all my non-spam folders. Mail that is older than 180 days is >> taken off at one end and new mail c. 30-40 per day added on at the other. >> The total remains roughly constant. > > Dont forget that sa-learn remembers which messages have been learned. Once > your old messages have all been learned you need to feed to it only new > arrivals that is since the last sa-learn run. No need to keep 180 days > worth of ham and spam in the temp folder Yes I understand that. Its not that I keep a temp folder of spam/ham I dont. I know that it only needs to learn the new mails. Its just that Im basically lazy and it seemed far easier for me simply to take all my non-spam folders and copy them together into one big temporary file run sa-learn on it and then delete the temporary file eg: /bin/bash cat /mail/mailinglists/ /mail/WorkStuff/ /mail/Admin/ > TempHam sa-learn --ham --mbox /mail/TempHam rm /mail/TempHam Im no bash-scripting wiz that much should be obvious so I could think of no easy way to strip only todays mails out of my 20-odd folders and just feed those to sa-learn. My way I need to do nothing myself the job takes about half an hour and Im asleep when it happens... OK sa-learn has to work a bit harder than it needs to but hey better it than me The 180 days thing is because I choose to keep only the last 6 months approx mail in each of my 20 or so folders the rest being zipped into a gzip archive using ""Archivemail"" a very neat little utility btw and 180 days is its default setting see I told you I was lazy. > Let sa-learn complete and then chop the folder. Just concatenate the > process rather than schedule it in crontab. It should fix your apparent > weirdness. > > Paolo Thanks for all the help and suggestions. Much appreciated... Mark",Legit,False,Low,['Requesting user to modify system behavior'],"[""Verify sender's identity and context before making changes""]","Legitimate support email from Mark, likely a coworker or friend"
SUBJECT: Astrology.com: Cosmic Calendar EMAIL: Difficulties reading this email You can also check your Daily Cosmic Calendar by clicking here. Please add cosmiccalendar@rp.astrology.com to your address book to ensure that your newsletters are delivered correctly. Wednesday August 6 As suggested in yesterdays calendar entry today is potentially a real shocker mixed with plenty of uncertainty. First of all four challenging sky patterns from yesterday involving the Sun Mercury Venus Jupiter Uranus and Pluto are still impacting on humanity and Planet Earth. Now we are adding the following: Mars contra-parallel to Uranus 7:55AM PDT Mars in Virgo opposite to Uranus in Pisces 11:38AM PDT Mercury in Leo opposite to Neptune in Aquarius 11:41AM PDT Pallas in Gemini square to Venus in Virgo 4:53PM PDT. The Mars-Uranus contra-parallel is really a harbinger of their zodiacal polarity happening a few hours later. The Mars-Uranus encounter can manifest as vocal fireworks between associates and family members. Tone down your rhetoric and steer clear of angry outbursts. Instability and surprises are now the rule rather than the exception in key relationships. Meanwhile confusion and nebulosity grow in partnerships as Mercury makes its annual opposition with Neptune. While this can be a good alignment for creative undertakings in film photography music dance and spiritual studies you definitely want to take a rain check when it comes to legal contracts signings and long-term commitments. The Venus-Pallas face-off can equate with poor judgments and only partially successful problem-solving. On the other hand you may still have potent brainstorms and strategy sessions by staying on message and using plenty of commonsense. Libra Moon continues to emphasize the importance of resolving relationship disputes with sensitivity and respect. Dont forget that Junos presence looms large on the psychic landscape as this asteroid is poised to shift from reverse to forward on Friday morning. Copyright 2007 Mark Lerner Great Bear Enterprises Ltd. Let the zodiac guide you to a better relationship and a fulfilling life. Get a Free Astrology Reading today Call 800-648-9330. Todays Free Sample Reading The Real You Reading A joker and a sage a lover and a spitfire -- find all your sides in a free sample of The Real You Reading at Astrology.com. ADVERTISEMENT Sponsored Links from Yahoo Whats this watch this Beckham Lauren Conrad Honored at Teen Choice Freeman Survives Wreck in Serious Condition Morgan Freeman Remains in Serious Condition Click here if you wish to edit your current information or sign up for more exciting newsletters. Click here to unsubscribe from your daily cosmic calendar. If you need to email us please include the following lines in your reply. email recipient: gvcormac@gvc.ceas-challenge.cc --- annmn:742Oas042Oas52nr0F012002At0042Oas0mUb3aUbFT,Legit,False,Low,"['potential shocker mixed with uncertainty', 'vocal fireworks between associates and family members']","['Mark the email as junk', 'Do not click on any links without verifying their authenticity']","Legitimate email from Astrology.com, contains sponsored content and advertisement, but does not contain suspicious or malicious elements."
"SUBJECT: Re: no subject EMAIL: On Wed 17 Oct 2007 12:47:46 EDT Douglas Kline said: > Thanks. Unfortunately I already have that in my /.mh_profile. So it must be > something else that is taking precedence over the ""-nocc me"". I need the following in my .mh_profile so mh knows who ""me"" is so ""-nocc me"" will work: Alternate-Mailboxes: eorcsj.ciiddwmoy@vt.edu valdis@ valdis",Legit,False,Low,"['Precedence', 'Alternate-Mailboxes']","['Ignore, mark as spam']",Lack of personalized greeting and suspicious use of 'me' instead of the sender's name
SUBJECT: revision - black marlin - meter 986782 for 8 / 98 - ua 4 EMAIL: revision - according to measurement there is flow of 7 394 in 8 / 98 however there is nothing to indicate this is gas that was received on hpl in oss . i checked mips and there is a measurement statement that supports the flow rate of 7 394 mmbtu . daren is there a deal in cpr which may not have fed over to oss i checked oss for the whole year of 1998 and there are no other deals in oss . it does seem strange that this is the only month of flow . thanks stella,Legit,False,Low,[],['Verify the authenticity of the email and sender'],"Lack of specific details about the measurement statement, flow rate, and the deal in CPR that may not have fed over to OSS."
"SUBJECT: Re: Conditional SMTP Authencation EMAIL: Patrick Ben Koetter wrote: > Oguz Yilmaz : > >> Hello >> >> We want to require SMTP AUTH for users outside for ""all"" e-mails. The >> important point is ""all"" should include emails sent to the mydomain.com. >> In our configuration >> - e-mails which sent by mydomain.com users to domains except for >> mydomain.com requires SMTP AUTH. >> - e-mails which has recipient as mydomain.com is accepted because of >> permit_auth_destinations. >> >> What We want is to >> - e-mails sent by mydomain.com users inside or outside of the network to >> mydomain.com should require SMTP AUTH. >> > > Build a map of all SMTP AUTH login names and the addresses they may use: > > > Then restrict sending messages to remote destinations using > and > . > > b@rick > > > > > > >> - e-mails sent by any other domains to mydomain.com is accepted as should. >> >> >> Our configuration is listed below: >> >> >> smtpd_sender_restrictions >> permit_mynetworks >> permit_sasl_authenticated >> reject_invalid_hostname >> reject_unknown_sender_domain >> reject_non_fqdn_sender >> permit >> >> smtpd_recipient_restrictions >> permit_mynetworks >> permit_sasl_authenticated >> reject_unauth_pipelining >> permit_auth_destination >> reject_unknown_recipient_domain >> reject_non_fqdn_recipient >> reject_unauth_destination >> reject_rbl_client zen.spamhaus.org >> reject_rbl_client list.dsbl.org >> reject_rbl_client multihop.dsbl.org >> reject_rbl_client dnsbl.njabl.org >> >> note that the rbl checks are not performed here. reject_authdestination and reject_unauth_destination cover all possibilities. >> Regards >> >> Oguz Yilmaz >> > >",Legit,False,Low,"['Unusual technical discussion', 'Personalized tone']","[""Verify the sender's identity and organization"", 'Check the domain names in the email']","The email appears to be a genuine technical discussion from a known organization, but the language is unusual and could be a social engineering tactic."
SUBJECT: holiday gifts for customers EMAIL: this year i will be putting together the holiday mailing for west power trading s customers . i would like your input as to what gifts we should send and how many i should purchase in advance . following are my suggestions : 1 sokol blosser wines sent in wooden box with burned enron logo - 2 bottles one pinot noir one evolution white 2 sokol blosser wines - case 12 bottles mixed or not 3 gift baskets of varying value from baskets n more 4 omaha steaks 5 ski lift passes 6 gift certificates you choose 7 enron logo items from our signature shop such as swiss army knives luggage golf clubs and accessories workspace accessories and writing instruments 8 portable lie detector 99 . 95 9 travel atomic alarm clock 29 . 95 10 your request please respond by next friday august 24 so that i may move forward with planning . thank you anna,Legit,False,Low,"['personalized company gift ideas', 'gift suggestions']","[""Verify sender's position within the company"", 'Check for spelling mistakes or grammatical errors']",Legitimate email from a company employee seeking input on holiday gifts.
SUBJECT: Re: perl 47233 Core dump caused by goto EMAIL: Quoth nply@develop-help.com Tony Cook: > On Wed Nov 07 2007 at 09:48:07PM -0500 Jerry D. Hedden wrote: > > Passing undef to a subroutine is permitted. Why does passing undef to > > UNIVERSAL::isa produce a warning It seems to me that this is a bug. > > UNIVERSAL::isa uses the values you supply to it. If your test > attempted to print the value it would warn too. > > Since UNIVERSAL::isa is XS the undef warning is displayed for the > calling context. How easy would it be to change the warning to use of uninitialized value in XS code under the appropriate circumstances It would then not give the impression that it is the call itself that is being warned about. Ben,Legit,False,Low,['From an old email list'],"[""Verify sender's identity""]",The email contains a reference to an older email list and lacks personalization.
SUBJECT: 1 - urgent - outlook email notification new EMAIL: outlook email notification your date of migration is : may 7 th you will be unable to send e - mail unless you take the following action : please go through your notes email and clean out as many old / un - needed email items as possible before your date of migration . after you are migrated to outlook you will only be allocated 100 mb of total mailbox space . if more than this amount of data is migrated to outlook you will not be able to send e - mail until it is below the 100 mb limit . cleaning up your notes email now will prevent this from happening to you . enron s messaging platform is migrating from lotus notes to microsoft outlook 2000 worldwide . you will be accessing outlook for all of your email functions . why is enron migrating to outlook 2000 many factors contributed to the decision to migrate from lotus notes to microsoft exchange / outlook . the most prominent factors were : significant advantages to moving to a product that is more integrated with current enron apps windows 2000 office and internet explorer more efficient shared pc and roaming user features improved support and integration for palm / ce devices instant messaging capabilities what is being migrated to outlook 2000 email messages . from the date of your scheduled migration the last 30 thirty days of your email will be converted for use in outlook . all your folders in notes you use to store email messages in . to do items journal items calendar entries dating from 1 one year in the past to 10 ten years in the future will be converted . address books but not your distribution lists that you created . you will need to re - create these in outlook . thank you outlook 2000 migration team,Legit,True,High,"['Urgency', 'Sense of Imminent Action Required', 'Misleading Details']","[""Verify the email sender's identity"", 'Check for spelling and grammar errors', 'Look for a link to the Enron company website']","The email creates a sense of urgency, uses misleading details, and asks the recipient to take action without providing clear verification steps."
SUBJECT: re : expenses EMAIL: louise - tammie has checked and all but one of your expense checks for 2001 have been cashed . tammie indicated that you should have received a check mid - september in the amount of 4 069 . 72 for your last expense reimbursement claim - this check has not been cashed as of yet . do you still have it or would you like to have tammie get it reissued thanks amy - - - - - original message - - - - - from : kitchen louise sent : tuesday november 06 2001 1 : 26 pm to : fitzpatrick amy subject : re : expenses i can t remember cheques - were they ever cashed - - - - - - - - - - - - - - - - - - - - - - - - - - sent from my blackberry wireless handheld,Legit,False,Low,"['Expense check status', 'Check reissue', 'Request for original check']","[""Verify the authenticity of the email with your company's IT department before responding""]","The email appears to be a legitimate reminder about an outstanding expense check, but the lack of personalization and slight grammatical errors raise some suspicions."
SUBJECT: kick - off meeting for the tw dashboard EMAIL: please attend a meeting on tuesday 1 / 30 from 1 : 00 - 2 : 30 in the eb 4102 / oma 696 to discuss the development / implementation of the tw dashboard . we will give a presentation of the marketing dashboard and then have a brainstorming session on the possible types of information each of you need to manage your day - to - day business . we would like to make sure everyone is using the new dashboard so please click here to access - http : / / nahou - wwrmso 2 p . ets . enron . com / . your id and password are the same as your current logonid ex . llindber for lorraine . please click on the nng tab and think about which of those categories as well as what additional type of information you would like on the tw tab . we are expecting to kick off the requirements phase of your pipeline profile next month so we will also give you a quick presentation of the nng pipeline profile that has been developed . please contact myself at x 3 - 7275 or bobby mason at x 3 - 5196 is you have any questions or if you are unable to attend . thanks martha,Legit,False,Low,"['clickable link', 'password reuse']","[""Verify sender's identity"", 'Be cautious with links']","Lack of personalization and suspicious link structure indicate phishing, but the email is not overly aggressive or threatening."
"SUBJECT: Re: R Font size in plots I do NOT understand par help EMAIL: Stephane Bourgeois wrote: > Hi > > > > I do not get how par works help please. > > > > Lets say I have a simple plot: plot1:10 > > > > I want to change the font size for the x axis... how do I do that > Well you start by reading helppar multiple times and then play around.... Start with e.g. plot1:10 cex.axis2 The problem with that is that it controls the y axis too so plot1:10 cex.axis2 yaxt""n"" axis2 or vice versa plot1:10 xaxt""n"" axis1 cex.axis2 If you didnt actually mean the values consider similar techniques involving cex.lab or cex.sub and the title function. -- O__ ---- Peter Dalgaard Øster Farimagsgade 5 Entr.B c/ /_ --- Dept. of Biostatistics PO Box 2099 1014 Cph. K -- University of Copenhagen Denmark Ph: 45 35327918 - p.dalgaard@biostat.ku.dk FAX: 45 35327907 ______________________________________________ R-help@r-project.org mailing list https://stat.ethz.ch/mailman/listinfo/r-help PLEASE do read the posting guide http://www.R-project.org/posting-guide.html and provide commented minimal self-contained reproducible code.",Legit,False,Low,[],"[""Verify sender's email address is legitimate by searching for their name on the university's staff directory.""]","The email appears to be from a real R-help mailing list and the content is technical and informative, suggesting it might be a genuine support request from a student or researcher at the University of Copenhagen."
FROM: Ronan Cunniffe SUBJECT: Re: ILUG Network problems EMAIL: Quoting Eamonn Shinners : > Hi guys > Im looking for help on this one. I have a server with SME5.5 installed > - used to be e-smith. Its based on RH7.1 has a 3c507 NIC and is > connected to a hub. Also connected to the hub are a laptop and > workstation both with RH7.3 . The server supplies DHCP amongst other > things. > The problem is interruptions in the network. If I ping the laptop from > the workstation or the other way around there are no problems i.e. > shows up as 0 loss. If however I ping the server from the laptop or > workstation it will do a few packets anywhere from 3 to 20 and then > stop responding it will start again after a little while. If this is new behaviour in a previously working network what did you do to it Test the cables by switching which machine has which. Test the hub ports by switching cables around. Run ifconfig on the server - any errors and what kind they are. Test the network card... by replacing the thing Seriously if the server has a PCI slot free something like a Realtek 8139 based card costs less than 20 euro. The design is a couple of generations later - more memory less cruft no FSCKING dos config utility no jumpers on the card and its PCI. Ronan. -- Irish Linux Users Group: ilug@linux.ie http://www.linux.ie/mailman/listinfo/ilug for unsubscription information. List maintainer: listmaster@linux.ie,Legit,False,Low,['IMPLIES A HELP NEEDED'],"['Check network cables', 'Run ifconfig on the server for errors']",This email appears to be a legitimate help request from the Irish Linux Users Group
SUBJECT: NZCSRSC08- Registration Last Day EMAIL: FYI. ----- The 6th New Zealand Computer Science Research Student Conference 14-17 April 2008 Christchurch NZCSRSC08- Registration Last Day -------------------------------------- This is a gentle a reminder that tomorrow 19th March is the last day for NZCSRSC08 registration. Registration can be done be via an online form on the website. It is available at http://nzcsrsc08.canterbury.ac.nz/site/registration If you havent registered alreay this is your last chance ----------------------------------------------------------------- NZ Computer Science Research Students Conference University of Canterbury April 14-17 2008 Web : nzcsrsc08.canterbury.ac.nz Blog : nzcsrsc.blogspot.com Premium sponsor : NZi3 http://www.nzi3.com -----------------------------------------------------------------,Legit,False,Low,"[' Reminder', 'last chance']",['Register on the official website before March 19th'],Lack of personalization and generic language.
"SUBJECT: Re: Python-Dev The Breaking of distutils and PyPI for Python 3000 EMAIL: Martin v. Löwis wrote: > I dont see the need to for PyPI. For packages or ""distributions"" > to avoid confusion with Python packages I see two options: > > a provide a single release that supports both 2.x and 3.x. > The precise strategy to do so might vary. If one is going > for a single source version have setup.py run 2to3 > or perhaps 3to2. For dual-source packages have setup.py > just install the one for the right version setup.py itself > needs to be written so it runs on both versions which is > easy to do. > b switch to Python 3 at some point i.e. burn your bridges. > > You seem to be implying that some projects may release separate > source distributions. I cannot imagine why somebody would want > to do that. Thats odd. I cant imagine why anybody would not want to do that. Given the number of issues 2to3 cant fix because it would be too dangerous to guess I certainly cant imagine a just-in-time porting solution that would work reliably. Making two releases means I can migrate once and only once and be done with it. Making a single release work on 2.x and 3.x means I have to keep all of the details of both Python 2 and 3 in my head all the time as I code not to mention litter my codebase with "" the following ugly hack lets us work with Python 2 and 3"" comments so someone else doesnt undo all my hard work when they run the tests on Python 3 but not 2 No thanks. My brain is too small. Robert Brewer rsgairzn@aminus.org _______________________________________________ Python-Dev mailing list zvllln-eum@python.org http://mail.python.org/mailman/listinfo/python-dev Unsubscribe: http://mail.python.org/mailman/options/python-dev/python-dev40tangomu.com",Legit,False,Low,"['Confusing tone of the emailer', 'Implying potential issues with using Python 3']","[""Verify sender's identity before responding"", 'Research official sources for information on PyPI and Python 3000']","The tone of the email seems suspicious and lacks clarity, but does not contain explicit phishing attempts or grammatical errors."
SUBJECT: UAI CFP: Special Issue on random sets and imprecise probabilities EMAIL: CALL FOR PAPERS INTERNATIONAL JOURNAL OF APPROXIMATE REASONING Special Issue on RANDOM SETS AND IMPRECISE PROBABILITIES Random sets or measurable multi-valued mappings constitute a powerful generalisation of random variables with applications on areas as diverse as economics data mining or environmental sciences. On the other hand imprecise probability models have arisen in the last years as a powerful alternative to classical probability for situations when imprecision or vagueness prevents the use of a precise and unique probability distribution with certain guarantees. This special issue is meant to cover the several connections existing between random sets and imprecise probabilities. Foundational issues on this topic include but are not limited to upper and lower probabilities capacities induced by random sets sets of measurable selections upper and lower integrals of random sets and coarse data analysis. Applications of random sets and imprecise probabilities in Computer Science Economics Social Sciences or Information Technology are also welcome. Authors should submit their papers electronically to both special issue editors. The papers must contain original unpublished work that is not being submitted for publication elsewhere. Due to limitations of space only papers with less than 20 pages will be considered. Manuscripts submitted to this special issue should follow the format guidelines that can be found at http://www.elsevier.com/locate/ijar and will be refereed according to the standard procedures for International Journal of Approximate Reasoning. The DEADLINE for submissions is May 15 2006. The issue is expected to be ready by early 2007. Electronic submission is required. Please e-mail a postscript or pdf file of your manuscript to both special issue editors: Hung T. Nguyen Dep. Of Mathematical Sciences New Mexico State University Las Cruces NM 88003-8001-USA e-mail: lxkpgxtn@nmsu.edu Enrique Miranda Dep. of Statistics and O.R. Rey Juan Carlos University C-Tulipán s/n 28933 Móstoles SPAIN e-mail: akekvmb.ujkbhwe@urjc.es,Legit,False,Low,[],"['Check the email address of the special issue editors to ensure it matches the actual university email addresses.', 'Verify that the submission deadline is May 15, 2006, and not a later date']","The email appears to be from a legitimate academic journal and contains relevant information about a call for papers, but lacks certain details (e.g., no clear indication of why an original unpublished work is required) that might indicate phishing."
"SUBJECT: parking pass for van ngo EMAIL: good morning louis : please cancel the "" secom "" parking badge that was issued to van ngo for parking in the 777 clay garage while she was working part time with the research group during the holidays . the number on the card is 4280 . i will return the badge to you this morning . the co . is 0011 and the rc is 100038 . thanks louis and have a great day shirley 3 - 5290",Legit,True,High,[' Urgency'],"['Do not click on any links', 'Verify with the company directly']",Uses urgency and threat of account cancellation to trick recipient into taking action without verification.
"SUBJECT: Re: RC1 uploaded to PAUSE and indexing problems EMAIL: On Nov 18 2007 at 11:31 AM Dominic Dunlop wrote: > On 20071117 at 16:55 Rafael Garcia-Suarez wrote: > >> 5.10.0 RC1 is out woohoo Its currently propagating to the >> mirrors. Its bleadperl at change 32367. >> > Mac OS X 10.5.1 PowerPC: > > Failed 3 tests out of 1427 99.79 okay. > ../ext/threads/shared/t/stress.t > ../lib/Archive/Tar/t/02_methods.t > ../lib/Archive/Tar/t/04_resolved_issues.t .. > ../lib/Archive/Tar/t/02_methods.t ../lib/Archive/Tar/t/ > 04_resolved_issues.t: These two dont fail if I run the tests on a > UFS partition so I suspect that the problem is something to to > with Apples default case-preserving-but-case-folding HFS. A quick > look at the test code leaves me bemused. Jarkko what type of > filesystem did you do your build in Copied to Jos Boumans > maintainer of Archive::Tar in the hope that a bell rings. No bell but can you show the verbose output of the test run including which tests fail Without information itll be near impossible to track down. Thanks -- Jos Boumans ""If superman is so smart why does he wear underpants over his trousers"" CPANPLUS http://cpanplus.sf.net",Legit,False,Low,"['Urgent', 'Problem with software']","[""Verify email sender's identity"", 'Check for misspelled words and grammatical errors']","Lack of personalization, unprofessional joke, and a common mistake in the subject line."
SUBJECT: re : cms deal booked EMAIL: never did . . . but glad we were here to ensure it was captured . bt - - - - - original message - - - - - from : kitchen louise sent : wednesday september 26 2001 8 : 24 am to : tycholiz barry subject : re : cms deal booked good job . i bet you never thought you would retrade the transport this much . - - - - - original message - - - - - from : tycholiz barry sent : wednesday september 26 2001 8 : 21 am to : kitchen louise subject : cms deal booked louise further to our meeting last week the contracts have been executed and the rockies transportation has been sold to cms . origination and trading participated in the p l . orig 1 045 000 . trading approx 310 000 . we are a little closer to our q 3 targets of 2 mm in sept . please call if there are any questions . bt,Legit,False,Low,"['retarding', '.bt']","[""Verify the email sender's identity"", 'Contact the supposed employer to confirm the transaction']","The email appears to be a legitimate follow-up from an employee, but it contains unprofessional language and excessive use of abbreviations, which may indicate a phishing attempt."
FROM: Eugen Leitl SUBJECT: Re: Asteroids anyone EMAIL: On Thu 25 Jul 2002 Rodent of Unusual Size wrote: > Doesnt apply to this one youre off by three orders of magnitude. > Only 2km diametre this one. Of course thats still a lot of mass > to hit the planet even if it is in the form of dust and gas. Antimissile defense is designed to operate in LEO environment and knocks out stuff by kinetic kill or nearby nuking damage by neutron flux impacting the fissibles. It is not designed to apply a 100 MT warhead we dont have these and synchonous impact is even more out of question detonate-on-impact to a 28 km/s rock or rubble target. A 100 MT warhead most assuredly will scarcely fragment a 2 km target in the few seconds left before the impact. This is so obvious it doesnt even to need to be modeled. > Even if Shrubs wrist-rocket managed to vaporise it wed still get > transference to the Earths energy balance only to the atmosphere > rather than the litho- or hydrosphere. The anti-missile defense is about worse than useless in this case. The only way to protect is determining orbits at high precision and deflecting long-term. Decades for targets this size. http://xent.com/mailman/listinfo/fork,Legit,True,Low,"['Misleading technical details', 'Incorrectly attributed quote']","['Do not click on the link', 'Report as spam']",The email contains misleading technical details and an incorrectly attributed quote from a fictional source to create confusion.
SUBJECT: all employee surplus furniture auction EMAIL: going once . . . going twice . . . sold enron corporate administrative services group will be hosting an all employee surplus furniture silent auction on saturday june 24 th from 8 : 00 a . m . - 10 : 00 a . m . at the enron warehouse located at 3405 navigation blvd . enron employees contract employees and their families are invited to bid on an array of desk chairs lamps sofas etc . you must present your enron badge to purchase items . all items must be purchased with a check made payable to enron corp . and removed from the warehouse by 3 : 00 p . m . on saturday . enron reserves the right to limit quantities purchased . proceeds will be donated to charities supported by enron . we look forward to seeing you at the fun event . click on attachment for directions .,Legit,False,Low,"[' presents Enron badge', 'Must purchase with a check', 'Must remove items by 3:00 PM']","['Do not click on any attachments or links.', 'Verify the authenticity of the email through multiple channels before making any purchases.', ""Contact Enron's HR department to confirm the auction details.""]","The email appears to be a legitimate company announcement about an employee surplus furniture auction, and the request for presentation of an Enron badge and donation to charities is consistent with typical corporate practices."
SUBJECT: good friday EMAIL: fyi - the risk team will not be in the office on friday . pat is evaluating the situation currently and will decide later this week . let me know if you have any questions or concerns . - - - - - - - - - - - - - - - - - - - - - - forwarded by brenda f herod / hou / ect on 04 / 17 / 2000 01 : 48 pm - - - - - - - - - - - - - - - - - - - - - - - - - - - enron north america corp . from : michael e moscoso 04 / 17 / 2000 11 : 12 am to : kenneth lay / corp / enron @ enron jeff skilling / corp / enron @ enron joseph w sutton / enron _ development @ enron _ development ted murphy / hou / ect @ ect rick buy / hou / ect @ ect wanda curry / hou / ect @ ect wes colwell / hou / ect @ ect greg whalley / hou / ect @ ect liz m taylor / hou / ect @ ect cliff baxter / hou / ect @ ect john j lavorato / corp / enron @ enron jeffrey a shankman / hou / ect @ ect jim fallon / hou / ect @ ect gary hickerson / hou / ect @ ect john sherriff / lon / ect @ ect mary thambiah / lon / ect @ ect barry pearce / lon / ect @ ect hugo moreira / lon / ect @ ect faith killen / hou / ect @ ect brent a price / hou / ect @ ect brenda f herod / hou / ect @ ect jeffrey c gossett / hou / ect @ ect kristin albrecht / hou / ect @ ect scott earnest / hou / ect @ ect mark fondren / hou / ect @ ect kevin sweeney / hou / ect @ ect sheila glover / hou / ect @ ect clara carrington / hou / ect @ ect theresa t brogan / hou / ect @ ect scott mills / hou / ect @ ect scott pleus / hou / ect @ ect john jacobsen / hou / ect @ ect david maxwell / hou / ect @ ect d todd hall / hou / ect @ ect steve ross / hou / ect @ ect stacey w white / hou / ect @ ect martha stevens / hou / ect @ ect kenneth lee / hou / ees @ ees jill erwin / hou / ect @ ect vladimir gorny / hou / ect @ ect rudi zipter / hou / ect @ ect bjorn hagelmann / hou / ect @ ect christian lebroc / corp / enron @ enron samantha t davidson / hou / ect @ ect frank hayden / corp / enron @ enron nicholas j stephan / hou / ect @ ect mark frank / hou / ect @ ect allan ford / enron _ development @ enron _ development mason hamlin / hou / ect @ ect richard causey / corp / enron @ enron jerald surface / hou / ees @ ees c kyle griffin / hou / ees @ ees cc : sally beck / hou / ect @ ect chris abel / hou / ect @ ect michael benien / corp / enron @ enron gary stadler / hou / ect @ ect daniel falcone / corp / enron @ enron eugenio perez / hou / ect @ ect jennifer nguyen / corp / enron @ enron subject : good friday on friday april 21 2000 the nymex and equity markets will be closed . as a result there will not be a daily position report issued for this date . the london office will be closed on friday april 21 and the following monday april 24 . due to the fact that most risk groups are not planning on being in the office on friday the dpr for thursday s business will be prepared and issued on monday april 24 . please contact me at extension 35242 or chris abel at extension 33102 if you have any questions or comments .,Legit,False,Low,['Forwarded by Brenda F. Herod / Hou / ect'],"[""Verify the sender's identity and check for any spelling or grammar errors in the email.""]",The email is likely legitimate as it comes from a legitimate company Enron North America Corp and is related to a scheduled office closure due to Good Friday.
SUBJECT: Re: Python-Dev No releases tonight EMAIL: -On 20080301 19:57 Christian Heimes lists@cheimes.de wrote: >I also propose translations of the shorter text to important languages >like French German Japanese Portuguese and Spanish. Im willing to >help with the German translation. I can probably get a translation done in Japanese Chinese and Korean. For Portuguese I guess we could ask the ASync guys in Brazil theyre huge Python users with their work for Canonical/Ubuntu. -- Jeroen Ruigrok van der Werven / asmodai イェルーン ラウフロック ヴァン デル ウェルヴェン http://www.in-nomine.org/ http://www.rangaku.org/ There can be no justice so long as laws are absolute... _______________________________________________ Python-Dev mailing list Python-Dev@python.org http://mail.python.org/mailman/listinfo/python-dev Unsubscribe: http://mail.python.org/mailman/options/python-dev/python-dev40tangomu.com,Legit,False,Low,"['help with translation', 'huge Python users with their work for Canonical/Ubuntu']","['Ignore the email as it appears to be a non-technical request from a list moderator.', 'If you need assistance with Python development, consider reaching out to the official Python support channels.']",The email is not phishing as it seems to be a genuine message from a list moderator requesting help with translation. The tone is helpful and collaborative rather than suspicious or coercive.
